NtQuerySystemInformation	0x0105
NtQuerySystemInformationEx	0x0106
NtQuerySystemTime	0x0107
NtQueryTimer	0x0108
NtQueryTimerResolution	0x0109
NtQueryValueKey	0x010a
NtQueryVirtualMemory	0x010b
NtQueryVolumeInformationFile	0x010c
NtQueryWinStationInformation	
NtQueryWnfStateData	
NtQueryWnfStateNameInformation	
NtQueueApcThread	0x010d
NtQueueApcThreadEx	0x010e
NtRaiseException	0x010f
NtRaiseHardError	0x0110
NtReadFile	0x0111
NtReadFileScatter	0x0112
NtReadOnlyEnlistment	0x0113
NtReadRequestData	0x0114
NtReadVirtualMemory	0x0115
NtRecoverEnlistment	0x0116
NtRecoverResourceManager	0x0117
NtRecoverTransactionManager	0x0118
NtRegisterProtocolAddressInformation	0x0119
NtRegisterThreadTerminatePort	0x011a
NtReleaseCMFViewOwnership	
NtReleaseKeyedEvent	0x011b
NtReleaseMutant	0x011c
NtReleaseSemaphore	0x011d
NtReleaseWorkerFactoryWorker	0x011e
NtRemoveIoCompletion	0x011f
NtRemoveIoCompletionEx	0x0120
NtRemoveProcessDebug	0x0121
NtRenameKey	0x0122
NtRenameTransactionManager	0x0123
NtReplaceKey	0x0124
NtReplacePartitionUnit	0x0125
NtReplyPort	0x0126
NtReplyWaitReceivePort	0x0127
NtReplyWaitReceivePortEx	0x0128
NtReplyWaitReplyPort	0x0129
NtReplyWaitSendChannel	
NtRequestDeviceWakeup	
NtRequestPort	0x012a
NtRequestWaitReplyPort	0x012b
NtRequestWakeupLatency	
NtResetEvent	0x012c
NtResetWriteWatch	0x012d
NtRestoreKey	0x012e
NtResumeProcess	0x012f
NtResumeThread	0x0130
NtRevertContainerImpersonation	
NtRollbackComplete	0x0131
NtRollbackEnlistment	0x0132
NtRollbackRegistryTransaction	
NtRollbackSavepointTransaction	
NtRollbackTransaction	0x0133
NtRollforwardTransactionManager	0x0134
NtSaveKey	0x0135
NtSaveKeyEx	0x0136
NtSaveMergedKeys	0x0137
NtSavepointComplete	
NtSavepointTransaction	
NtSecureConnectPort	0x0138
NtSendWaitReplyChannel	
NtSerializeBoot	0x0139
NtSetBootEntryOrder	0x013a
NtSetBootOptions	0x013b
NtSetCachedSigningLevel	
NtSetCachedSigningLevel2	
NtSetContextChannel	
NtSetContextThread	0x013c
NtSetDebugFilterState	0x013d
NtSetDefaultHardErrorPort	0x013e
NtSetDefaultLocale	0x013f
NtSetDefaultUILanguage	0x0140
NtSetDriverEntryOrder	0x0141
NtSetEaFile	0x0142
NtSetEvent	0x0143
NtSetEventBoostPriority	0x0144
NtSetHighEventPair	0x0145
